id,title,artist,releaseYear,japaneseOrWestern,verified,active,sourceNote
36,September,竹内まりや,1979,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
37,真夜中のドア〜Stay With Me,松原みき,1979,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
38,みずいろの雨,八神純子,1978,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
39,黄昏のBAY CITY,八神純子,1983,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
40,Yes-No,オフコース,1980,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
41,SHADOW CITY,寺尾聰,1980,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
42,ルビーの指環,寺尾聰,1981,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
43,恋人よ,五輪真弓,1980,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
44,Girl In The Box,角松敏生,1984,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
45,No End Summer,角松敏生,1985,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
46,Plastic Love,竹内まりや,1985,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
47,元気をだして,竹内まりや,1988,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
48,I LOVE YOU,オフコース,1981,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
49,言葉にできない,オフコース,1982,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
50,夏の日,オフコース,1984,japanese,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
51,Jojo,Boz Scaggs,1980,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
52,Sailing,Christopher Cross,1980,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
53,Ride Like the Wind,Christopher Cross,1979,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
54,"Hard to Say I'm Sorry",Chicago,1982,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
55,Lost in Love,Air Supply,1980,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
56,Georgy Porgy,Toto,1978,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
57,Biggest Part of Me,Ambrosia,1980,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
58,Baby Come Back,Player,1977,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
59,Summer Breeze,Seals & Crofts,1972,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
60,"Just the Two of Us","Grover Washington, Jr. feat. Bill Withers",1981,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
61,Cool Night,Paul Davis,1981,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
62,Him,Rupert Holmes,1980,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
63,"Arthur's Theme (Best That You Can Do)",Christopher Cross,1981,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
64,All Right,Christopher Cross,1983,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
65,How Much I Feel,Ambrosia,1978,international,FALSE,TRUE,TNS candidate pool v1 / Maron approved 2026-08-27
